Show TCP sender's some valuces about RTO:
pkt_seqno      pkt_type                 RorS_seqno     srtt           rto            
1              snd_con_syn              1              0              300            
2              rcv_con_syn_ack          1              8              21             
3              snd_con_ack              2              8              21             
4              snd_data                 3              8              21             
5              snd_data                 4              8              21             
6              rcv_ack                  2              8              21             
7              snd_data                 5              8              21             
8              snd_data                 6              8              21             
9              snd_data                 7              8              21             
10             rcv_ack                  3              8              21             
11             snd_data                 8              8              21             
12             snd_data                 9              8              21             
13             snd_data                 10             8              21             
14             rcv_ack                  4              8              21             
15             snd_data                 11             8              21             
16             snd_data                 12             8              21             
17             rcv_ack                  5              8              21             
18             snd_data                 13             8              21             
19             snd_data                 14             8              21             
20             snd_data                 15             8              21             
21             rcv_ack                  6              8              21             
22             snd_data                 16             8              21             
23             snd_data                 17             8              21             
24             rcv_ack                  7              8              21             
25             snd_data                 18             8              21             
26             snd_data                 19             8              21             
27             snd_data                 20             8              21             
28             rcv_ack                  8              8              21             
29             snd_data                 21             8              21             
30             snd_data                 22             8              21             
31             rcv_ack                  9              8              21             
32             snd_data                 23             8              21             
33             snd_data                 24             8              21             
34             snd_data                 25             8              21             
35             rcv_ack                  10             8              21             
36             snd_data                 26             8              21             
37             snd_data                 27             8              21             
38             snd_data                 28             8              21             
39             rcv_ack                  11             8              21             
40             snd_data                 29             8              21             
41             snd_data                 30             8              21             
42             snd_data                 31             8              21             
43             rcv_ack                  12             8              21             
44             snd_data                 32             8              21             
45             snd_data                 33             8              21             
46             snd_data                 34             8              21             
47             rcv_ack                  13             8              21             
48             snd_data                 35             8              21             
49             snd_data                 36             8              21             
50             snd_data                 37             8              21             
51             rcv_ack                  14             8              21             
52             snd_data                 38             8              21             
53             snd_data                 39             8              21             
54             snd_data                 40             8              21             
55             rcv_ack                  15             8              21             
56             snd_data                 41             8              21             
57             snd_data                 42             8              21             
58             snd_data                 43             8              21             
59             rcv_ack                  16             8              21             
60             snd_data                 44             8              21             
61             snd_data                 45             8              21             
62             snd_data                 46             8              21             
63             rcv_ack                  17             8              21             
64             snd_data                 47             8              21             
65             snd_data                 48             8              21             
66             snd_data                 49             8              21             
67             rcv_ack                  18             8              21             
68             snd_data                 50             8              21             
69             rcv_ack                  19             8              21             
70             rcv_ack                  20             8              21             
71             rcv_ack                  21             8              21             
72             rcv_ack                  22             8              21             
73             rcv_ack                  23             8              21             
74             rcv_ack                  24             8              21             
75             rcv_ack                  25             8              21             
76             rcv_ack                  26             8              21             
77             snd_data                 51             8              21             
78             snd_data                 52             8              21             
79             snd_data                 53             8              21             
80             snd_data                 54             8              21             
81             snd_data                 55             8              21             
82             snd_data                 56             8              21             
83             snd_data                 57             8              21             
84             rcv_ack                  27             8              21             
85             rcv_ack                  28             8              21             
86             rcv_ack                  29             8              21             
87             rcv_ack                  30             8              21             
88             rcv_ack                  31             21             22             
89             rcv_ack                  32             21             22             
90             rcv_ack                  33             21             22             
91             rcv_ack                  34             21             22             
92             rcv_ack                  35             21             22             
93             rcv_ack                  36             21             22             
94             snd_data                 58             21             22             
95             snd_data                 59             21             22             
96             rcv_ack                  37             21             22             
97             rcv_ack                  38             20             22             
98             snd_data                 60             20             22             
99             snd_data                 61             20             22             
100            snd_data                 62             20             22             
101            rcv_ack                  39             19             22             
102            snd_data                 63             19             22             
103            snd_data                 64             19             22             
104            snd_data                 65             19             22             
105            rcv_ack                  40             18             22             
106            snd_data                 66             18             22             
107            snd_data                 67             18             22             
108            snd_data                 68             18             22             
109            rcv_ack                  41             17             22             
110            snd_data                 69             17             22             
111            snd_data                 70             17             22             
112            snd_data                 71             17             22             
113            rcv_ack                  42             16             22             
114            snd_data                 72             16             22             
115            snd_data                 73             16             22             
116            snd_data                 74             16             22             
117            rcv_ack                  43             15             21             
118            snd_data                 75             15             21             
119            snd_data                 76             15             21             
120            snd_data                 77             15             21             
121            rcv_ack                  44             15             21             
122            snd_data                 78             15             21             
123            snd_data                 79             15             21             
124            snd_data                 80             15             21             
